"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","us_states"
"Washing your hands is the best way to prevent the spread of germs and illness including #flu. Wash your hands as of… https://t.co/GZktm2xuuQ",FALSE,11,NA,"3/2/2018 15:55",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HealthyPinellas",8,FALSE,FALSE,-82.6402915,27.7676008,"St Petersburg, FL","Florida"
".@maddie_sofia and @NPRskunkbear take a look at the #flu, what it does to you, how your immune system responds, and… https://t.co/2SFwUBMEhg",FALSE,0,NA,"3/2/2018 15:48",TRUE,NA,9.7e+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SciPolAPS",0,FALSE,FALSE,-77.0947092,38.984652,"Bethesda, MD",NA
"CBS video and text: Scientists ramp up efforts to improve ""antiquated"" #flu vaccines @DrLaPook… https://t.co/BKYgTz2bBi",FALSE,3,NA,"3/2/2018 15:45",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greg_folkers",1,FALSE,FALSE,-77.0368707,38.9071923,"Washington, D.C., U.S.A.","District of Columbia"
"""Extra sunlight in late summer, early fall could help stave off flu, study finds https://t.co/4ZkzhMD1Pt #vitaminD #sunshine #flu""",FALSE,1,NA,"3/2/2018 15:42",FALSE,NA,9.7e+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","JeffTBowles",0,FALSE,FALSE,-87.6297982,41.8781136,"Chicago, IL","Illinois"
"RT @Medscape: The #flu epidemic has put Otitis Media in the spotlight. https://t.co/9RIgnXFwnI #ClinicalTrends https://t.co/41KjXEUKVJ",FALSE,0,NA,"3/2/2018 15:41",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PatientCareUBM",36,TRUE,FALSE,-73.4081575,41.117744,"Norwalk, CT","Connecticut"
"RT @EinsteinHealth: RT @StaceyABurling: There's good news about #flu in Pennsylvania and New Jersey. https://t.co/lTOXyrm8RM via @phillyhea…",FALSE,0,NA,"3/2/2018 15:41",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kdiwavvou",3,TRUE,FALSE,22.9444191,40.6400629,"thessaloniki",NA
"RT @CDCgov: Flu Fact: Did you know you can get flu more than once a season? Multiple flu viruses are circulating, which is why #flu vaccina…",FALSE,0,NA,"3/2/2018 15:40",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ellehoman",189,TRUE,FALSE,-94.6858998,46.729553,"Minnesota, USA",NA
"Extra sunlight in late summer, early fall could help stave off flu, study finds https://t.co/UB3m8pEXVV #vitaminD #sunshine #flu",FALSE,3,NA,"3/2/2018 15:39",FALSE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","VitDSoc",2,FALSE,FALSE,-106.346771,56.130366,"Canada",NA
"RT @CrazyRxMan: Who should get the #Flu shot? https://t.co/TYfhzy4cGE",FALSE,0,NA,"3/2/2018 15:39",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjwills2",1,TRUE,FALSE,-99.9018131,31.9685988,"texas",NA
"RT @Medscape: The #flu epidemic has put Otitis Media in the spotlight. https://t.co/9RIgnXFwnI #ClinicalTrends https://t.co/41KjXEUKVJ",FALSE,0,NA,"3/2/2018 15:35",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SergylB",36,TRUE,FALSE,4.835659,45.764043,"LYON",NA
